# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28007,10855,0,0,0,0,0,1
28009,10857,0,0,0,0,0,1
28006,10855,0,0,0,0,0,1
28005,10853,0,0,0,0,0,1
28004,10853,0,0,0,0,0,1
28004,10856,0,0,0,0,0,1
28007,10860,0,0,0,0,0,1
28009,10861,0,0,0,0,0,1
28013,10862,0,0,0,0,0,1
28009,10859,0,0,0,0,0,1
28011,10859,0,0,0,0,0,1
28014,10861,0,0,0,0,0,1
28016,10862,0,0,0,0,0,1
28020,10864,0,0,0,0,0,1
28022,10866,0,0,0,0,0,1
28025,10869,0,0,0,0,0,1
28028,10871,0,0,0,0,0,1
28032,10874,0,0,0,0,0,1
28033,10874,0,0,0,0,0,1
28033,10874,0,0,0,0,0,1
28032,10873,0,0,0,0,0,1
28032,10877,0,0,0,0,0,1
28032,10881,0,0,0,0,0,1
28036,10884,0,0,0,0,0,1
28042,10881,0,0,0,0,0,1
28042,10879,0,0,0,0,0,1
28043,10883,0,0,0,0,0,1
28043,10881,0,0,0,0,0,1
28043,10880,0,0,0,0,0,1
28040,10879,0,0,0,0,0,1
28038,10881,0,0,0,0,0,1
28040,10884,0,0,0,0,1,1
28044,10886,0,0,0,0,1,1
28046,10888,0,0,0,0,1,1
28047,10889,0,0,0,0,1,1
28050,10889,0,0,0,0,1,1
28054,10892,0,0,0,0,1,1
28052,10892,0,0,0,0,1,1
28048,10889,0,0,0,0,1,1
28051,10886,0,0,0,0,1,1
28048,10886,0,0,0,0,1,1
28047,10886,0,0,0,0,1,1
28051,10882,0,0,0,0,1,1
28052,10880,0,0,0,0,1,1
28053,10876,0,0,0,0,1,1
28054,10874,0,0,0,0,1,1
28055,10879,0,0,0,0,1,1
28053,10880,0,0,0,0,1,1
28052,10880,0,0,0,0,1,1
28053,10880,0,0,0,0,1,1
28052,10880,0,0,0,0,1,1
28049,10881,0,0,0,0,1,1
28048,10881,0,0,0,0,1,1
28049,10881,0,0,0,0,1,1
28050,10882,0,0,0,0,1,1
28052,10882,0,0,0,0,1,1
28053,10882,0,0,0,0,1,1
28054,10882,0,0,0,0,1,1
28055,10882,0,0,0,0,1,1
28055,10881,0,0,0,0,1,1
28053,10882,0,0,0,0,1,1
28052,10884,0,0,0,0,1,1
28053,10879,0,0,0,0,1,1
28053,10879,0,0,0,0,1,1
28052,10880,0,0,0,0,1,1
28055,10879,0,0,0,0,1,1
28057,10878,0,0,0,0,1,1
28059,10877,0,0,0,0,1,1
28062,10874,0,0,0,0,1,1
28063,10875,0,0,0,0,1,1
28063,10877,0,0,0,0,1,1
28066,10878,0,0,0,0,1,1
28065,10880,0,0,0,0,0,1
28062,10878,0,0,0,0,0,1
28060,10877,0,0,0,0,0,1
28061,10876,0,0,0,0,0,1
28065,10879,0,0,0,0,0,1
28067,10882,0,0,0,0,0,1
28067,10884,0,0,0,0,0,1
28069,10884,0,0,0,0,0,1
